instrument,datetime,score,label
SZ002146,2020-06-17,0.047552418,0.012516141
SZ002153,2020-06-17,0.050348412,0.048385024
SZ002179,2020-06-17,-0.124331206,0.02607441
SZ002202,2020-06-17,0.22083993,-0.019647837
SZ002230,2020-06-17,-0.1807204,0.045742154
SZ002236,2020-06-17,-0.25772253,0.005795479
SZ002241,2020-06-17,-0.08186264,0.040610075
SZ002252,2020-06-17,-0.11140531,-0.019754589
SZ002271,2020-06-17,0.29323372,-0.014609158
SZ002294,2020-06-17,0.18625255,0.1369034
SZ002304,2020-06-17,0.21604322,0.01681006
SZ002311,2020-06-17,0.0984222,0.00039613247
SZ002352,2020-06-17,0.25545493,-0.01372391
SZ002410,2020-06-17,-0.3180243,0.08114195
SZ002411,2020-06-17,-0.30102518,-0.03177893
SZ002415,2020-06-17,-0.06944217,0.008997917
SZ002422,2020-06-17,0.22554879,-0.025856495
SZ002456,2020-06-17,-0.55525464,0.025819302
SZ002460,2020-06-17,-0.23723044,-0.002403617
SZ002466,2020-06-17,-0.24686424,0.03449166
SZ002468,2020-06-17,-0.19404198,-0.07121515
SZ002475,2020-06-17,0.08905567,0.07425976
SZ002493,2020-06-17,-0.12737492,-0.0050154924
SZ002508,2020-06-17,0.106777854,-0.010929465
SZ002555,2020-06-17,0.16302492,0.08074725
SZ002558,2020-06-17,0.12433317,0.021944404
SZ002594,2020-06-17,-0.20030908,0.07429755
SZ002601,2020-06-17,0.22145784,0.009035826
SZ002602,2020-06-17,-0.19280092,0.14069128
SZ002607,2020-06-17,0.21396048,-0.025859535
SZ002624,2020-06-17,0.15889184,0.13085747
SZ002673,2020-06-17,-0.011635218,0.033949018
SZ002714,2020-06-17,0.09697527,0.042844176
SZ002736,2020-06-17,0.12194961,0.054621935
SZ002739,2020-06-17,-0.109120175,-0.0063052177
SZ002773,2020-06-17,0.26530498,0.040079236
SZ002841,2020-06-17,0.35290846,0.0014592409
SZ002916,2020-06-17,-0.42282054,0.02114737
SZ002938,2020-06-17,-0.14275904,0.046633124
SZ002939,2020-06-17,-0.06781712,0.037811756
SZ002945,2020-06-17,-0.10482769,0.019622087
SZ002958,2020-06-17,0.13671586,0.021786451
SZ300003,2020-06-17,0.10335055,-0.011859894
SZ300015,2020-06-17,0.14021434,-0.0038446784
SZ300017,2020-06-17,-0.15757285,0.030496597
SZ300024,2020-06-17,-0.058243755,0.015500307
SZ300033,2020-06-17,0.016907137,0.0670135
SZ300059,2020-06-17,8.2891434e-05,0.13156891
SZ300070,2020-06-17,-0.31325233,-0.055284023
SZ300122,2020-06-17,-0.05828828,0.076486826
SZ300124,2020-06-17,0.025407832,0.08833587
SZ300136,2020-06-17,-0.08883521,0.021831274
SZ300142,2020-06-17,0.25994095,0.048648
SZ300144,2020-06-17,0.42174774,0.006640196
SZ300347,2020-06-17,0.2309301,0.16076255
SZ300408,2020-06-17,0.07491237,0.175251
SZ300413,2020-06-17,-0.0066030435,-0.04876542
SZ300433,2020-06-17,0.065334246,0.056375742
SZ300498,2020-06-17,-0.028019477,0.01954317
SH600000,2020-06-18,0.23666291,-0.0037803054
SH600004,2020-06-18,0.13557442,-0.046044588
SH600009,2020-06-18,0.17470329,-0.014536083
SH600010,2020-06-18,-0.08387907,-0.035675645
SH600011,2020-06-18,0.04181953,-0.018686831
SH600015,2020-06-18,-0.026497323,-0.0032269955
SH600016,2020-06-18,0.24371742,-0.0017793179
SH600018,2020-06-18,0.13825203,-0.021959484
SH600019,2020-06-18,0.066513896,-0.039740443
SH600023,2020-06-18,0.32013318,-0.017391264
SH600025,2020-06-18,0.31644067,0.07512951
SH600027,2020-06-18,0.04449187,-0.029950142
SH600028,2020-06-18,-0.001754839,-0.023041487
SH600029,2020-06-18,-0.10113324,-0.014689326
SH600030,2020-06-18,-0.02131984,-0.014684498
SH600031,2020-06-18,0.23014967,-0.029168487
SH600036,2020-06-18,0.20797879,-0.0064994097
SH600038,2020-06-18,-0.05730172,0.0010514259
SH600048,2020-06-18,-0.059320796,-0.002065003
SH600050,2020-06-18,-0.091890916,-0.006460011
SH600061,2020-06-18,-0.054906923,0.006505251
SH600066,2020-06-18,0.12801327,0.03395486
SH600068,2020-06-18,-0.10216315,-0.0100108385
SH600085,2020-06-18,0.15749027,0.014427781
SH600089,2020-06-18,-0.13611715,-0.030390978
SH600100,2020-06-18,-0.12771928,-0.021646142
SH600104,2020-06-18,-0.046548415,-0.0147999525
SH600109,2020-06-18,-0.2348784,-0.0134269595
SH600111,2020-06-18,0.057190012,-0.03457284
SH600115,2020-06-18,-0.07318416,-0.027072728
SH600118,2020-06-18,-0.040624727,-0.052699566
SH600153,2020-06-18,-0.078042895,-0.0705055
SH600170,2020-06-18,-0.044385184,-0.015975833
SH600176,2020-06-18,-0.032746423,-0.01802516
SH600177,2020-06-18,0.18259798,-0.026216447
SH600183,2020-06-18,-0.3728157,-0.009891689
SH600188,2020-06-18,0.17465271,-0.029266596
SH600196,2020-06-18,0.0414215,0.007137537
SH600208,2020-06-18,-0.09313138,-0.01991254
SH600219,2020-06-18,0.030571517,-0.004132271
SH600221,2020-06-18,-0.16063334,-0.063492
SH600233,2020-06-18,0.11747001,-0.11428219
SH600271,2020-06-18,-0.078496546,-0.042760372
SH600276,2020-06-18,0.08165455,-0.008066893
SH600297,2020-06-18,0.0028582923,-0.062274337
SH600299,2020-06-18,-0.3246593,0.021739125
SH600309,2020-06-18,0.13759464,0.0049055815
SH600332,2020-06-18,0.061422553,-0.022046566
SH600340,2020-06-18,0.035313737,-0.021026194
SH600346,2020-06-18,-0.035953876,-0.016058028
SH600352,2020-06-18,-0.06730814,-0.030516684
SH600362,2020-06-18,-0.097118184,0.0
SH600369,2020-06-18,-0.05323052,-0.017881751
SH600372,2020-06-18,0.120116025,0.00074863434
SH600383,2020-06-18,-0.024147693,-0.011238098
SH600390,2020-06-18,0.10718852,-0.01967454
SH600398,2020-06-18,0.1438389,-0.028427064
SH600406,2020-06-18,-0.047636528,0.004460931
SH600436,2020-06-18,0.294066,0.050587416
SH600438,2020-06-18,0.16433777,0.17020619
SH600482,2020-06-18,-0.09514673,-0.017524958
SH600487,2020-06-18,-0.011932511,-0.023246527
SH600489,2020-06-18,-0.29349956,0.04455924
SH600498,2020-06-18,-0.31153613,-0.04917282
SH600516,2020-06-18,-0.13569175,-0.047225952
SH600519,2020-06-18,0.25140694,0.028004766
SH600522,2020-06-18,0.021809328,-0.047062397
SH600535,2020-06-18,-0.012073401,0.015487671
SH600547,2020-06-18,-0.0131177865,0.04050386
SH600566,2020-06-18,-0.09943049,-0.015407741
SH600570,2020-06-18,0.17741941,0.09577739
SH600583,2020-06-18,-0.074497595,-0.023660302
SH600585,2020-06-18,-0.1003474,-0.033690512
SH600588,2020-06-18,-0.07469311,0.09049189
SH600606,2020-06-18,0.21779138,-0.010561109
SH600637,2020-06-18,-0.052914504,-0.03909427
SH600655,2020-06-18,-0.053318504,-0.05119753
SH600660,2020-06-18,0.04028451,-0.028434217
SH600663,2020-06-18,-0.09250574,0.006357193
SH600674,2020-06-18,0.16678888,0.002138853
SH600690,2020-06-18,-0.105159596,0.024559736
SH600703,2020-06-18,-0.29865792,-0.024061441
SH600705,2020-06-18,-0.033040334,-0.017723322
SH600733,2020-06-18,0.07755458,-0.08022046
SH600741,2020-06-18,0.021086317,-0.03017217
SH600760,2020-06-18,-0.10523209,0.01496017
SH600795,2020-06-18,-0.033016514,-0.010737717
SH600809,2020-06-18,0.3513546,0.043171763
SH600816,2020-06-18,-0.43865642,0.071516514
SH600837,2020-06-18,-0.13062203,-0.00083351135
SH600848,2020-06-18,-0.1217643,-0.0062137246
SH600867,2020-06-18,0.077719614,0.037588835
SH600886,2020-06-18,0.20480908,0.007735491
SH600887,2020-06-18,0.17706104,0.032430887
SH600893,2020-06-18,-0.15659468,0.019907713
